title,creators,year_or_source,source_queries_matched,permalink
"Ultimate Django for Web App Development Using Python : Build Modern, Reliable and Scalable Production-Grade Web Applications with Django and Python (English Edition)","Lazzaro, Leonardo Luis, author.",,SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/uj58op/alma99109628009596
Designing hexagonal architecture with Java : an architect's guide to building maintainable and change-tolerant applications with Java and Quarkus,"Vieira, Davi, author.",,SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/uj58op/alma9972073709596
Ten simple rules for writing Dockerfiles for reproducible data science,"Nüst, Daniel ; Sochat, Vanessa ; Marwick, Ben ; Eglen, Stephen J. ; Head, Tim ; Hirst, Tony ; Evans, Benjamin D.","PLoS computational biology, 2020-11, Vol.16 (11), p.e1008316",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_plos_journals_2479465936
The Naïve Bayes classifier++ for metagenomic taxonomic classification—query evaluation,"Duan, Haozhe (Neil) ; Hearne, Gavin ; Polikar, Robi ; Rosen, Gail L","Bioinformatics (Oxford, England), 2024-12, Vol.41 (1)",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_11729721
GitHub’s Super Linter is ‘one linter to rule them all,"Krill, Paul","InfoWorld.com, 2020-06",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_reports_2416736728
MetaPalette: a k -mer Painting Approach for Metagenomic Taxonomic Profiling and Quantification of Novel Strain Variation,"Koslicki, David ; Falush, Daniel","mSystems, 2016-05, Vol.1 (3)",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1128_mSystems_00020_16
Detection and Mitigation of Security Threats Using Virtualized Network Functions in Software-Defined Networks,"Domínguez-Dorado, Manuel ; Calle-Cancho, Jesús ; Galeano-Brajones, Jesús ; Rodríguez-Pérez, Francisco-Javier ; Cortés-Polo, David","Applied sciences, 2024-01, Vol.14 (1), p.374",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_onefilemisc_PPGS_A779132310
"Containerization technologies: taxonomies, applications and challenges","Bentaleb, Ouafa ; Belloum, Adam S. Z. ; Sebaa, Abderrazak ; El-Maouhab, Aouaouche","The Journal of supercomputing, 2022-01, Vol.78 (1), p.1144-1181",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_2616649588
Secure container Orchestration: A framework for detecting and mitigating Orchestrator - level vulnerabilities,"Mahavaishnavi, V. ; Saminathan, R. ; Prithviraj, R.","Multimedia tools and applications, 2025-05, Vol.84 (17), p.18351-18371",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s11042_024_19613_x
"On the Security of Containers: Threat Modeling, Attack Analysis, and Mitigation Strategies","Wong, Ann Yi ; Chekole, Eyasu Getahun ; Ochoa, Martín ; Zhou, Jianying","Computers & security, 2023-05, Vol.128, p.103140, Article 103140",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_elsevier_sciencedirect_doi_10_1016_j_cose_2023_103140
GRAViTy-V2: a grounded viral taxonomy application,"Mayne, Richard ; Aiewsakun, Pakorn ; Turner, Dann ; Adriaenssens, Evelien M ; Simmonds, Peter","NAR genomics and bioinformatics, 2024-12, Vol.6 (4), p.lqae183",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3168786546
Research on the Development of a Building Model Management System Integrating MQTT Sensing,"Wang, Ziang ; Xiao, Han ; Guan, Changsheng ; Zhou, Liming ; Fu, Daiguang","Sensors (Basel, Switzerland), 2025-10, Vol.25 (19), p.6069",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3261090132
Structured information on state and evolution of dockerfiles on github,"Schermann, Gerald ; Zumberi, Sali ; Cito, Jürgen","2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR), 2018, p.26-29",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3196398_3196456_brief
"Inferences on the evolution of the ascorbic acid synthesis pathway in insects using Phylogenetic Tree Collapser (PTC), a tool for the automated collapsing of phylogenetic trees using taxonomic information","Glez-Peña, Daniel ; López-Fernández, Hugo ; Duque, Pedro ; Vieira, Cristina P. ; Vieira, Jorge","Journal of integrative bioinformatics, 2024-06, Vol.21 (2), p.1850-60",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_11377030
A clustering-based approach for mining dockerfile evolutionary trajectories,"Zhang, Yang ; Wang, Huaimin ; Filkov, Vladimir","Science China. Information sciences, 2019-01, Vol.62 (1), p.19101, Article 19101",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s11432_017_9415_3
Prediction of homologous recombination deficiency identifies colorectal tumors sensitive to PARP inhibition,"Corti, Giorgio ; Buzo, Kristi ; Berrino, Enrico ; Miotto, Martina ; Aquilano, Maria Costanza ; Lentini, Marilena ; Bellomo, Sara Erika ; Lorenzato, Annalisa ; Bartolini, Alice ; Mauri, Gianluca ; Lazzari, Luca ; Russo, Mariangela ; Di Nicolantonio, Federica ; Siena, Salvatore ; Marsoni, Silvia ; Marchiò, Caterina ; Bardelli, Alberto ; Arena, Sabrina","NPJ precision oncology, 2024-10, Vol.8 (1), p.231-9, Article 231",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_11473949
Detection and Analysis of Poisoned Image in Container Registry,"Pang, Siyuan ; Wang, Yongshan ; Yao, Yepeng ; Jiang, Zhengwei ; Fan, Zijing ; Liu, Baoxu","Proceedings - International Symposium on Software Reliability Engineering, 2025, p.440-451",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_11229784
SoMaCX: a complex generative genome modeling framework,"Becker, Timothy James","BMC genomics, 2025-09, Vol.26 (1), p.853-15, Article 853",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1186_s12864_025_12023_9
On the Taxonomy of Developers' Discussion Topics with ChatGPT,"Sagdic, Ertugrul ; Bayram, Arda ; Islam, Md Rakibul","Proceedings (IEEE/ACM International Conference on Mining Software Repositories. Online), 2024, p.197-201",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3643991_3645080_brief
A Dataset of Dockerfiles,"Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas","2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR), 2020, p.528-532",GS;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3379597_3387498
multistrap: boosting phylogenetic analyses with structural information,"Baltzis, Athanasios ; Santus, Luisa ; Langer, Björn E. ; Magis, Cedrik ; de Vienne, Damien M. ; Gascuel, Olivier ; Mansouri, Leila ; Notredame, Cedric","Nature communications, 2025-01, Vol.16 (1), p.293-14, Article 293",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_miscellaneous_3156527569
Fungal metabarcoding data integration framework for the MycoDiversity DataBase (MDDB),"Martorelli, Irene ; Helwerda, Leon S. ; Kerkvliet, Jesse ; Gomes, Sofia I. F. ; Nuytinck, Jorinde ; van der Werff, Chivany R. A. ; Ramackers, Guus J. ; Gultyaev, Alexander P. ; Merckx, Vincent S. F. T. ; Verbeek, Fons J.","Journal of integrative bioinformatics, 2020-05, Vol.17 (1), p.1281-71",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_miscellaneous_2407579942
Status of the Deep Learning-Based Shattered Pellet Injection Shard Tracking at ASDEX Upgrade,"Illerhaus, Johannes ; Treutterer, W. ; Heinrich, P. ; Miah, M. ; Papp, G. ; Peherstorfer, T. ; Sieglin, B. ; Toussaint, U. v. ; Zohm, H. ; Jenko, F.","Journal of fusion energy, 2024-06, Vol.43 (1), p.14, Article 14",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3054647564
Semi-Supervised Learning Based Tag Recommendation for Docker Repositories,"Chen, Wei ; Zhou, Jia-Hong ; Zhu, Jia-Xin ; Wu, Guo-Quan ; Wei, Jun","Journal of computer science and technology, 2019-09, Vol.34 (5), p.957-971",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s11390_019_1954_4
Leveraging Kernel Security Mechanisms to Improve Container Security: a Survey,"Bélair, Maxime ; Laniepce, Sylvie ; Menaud, Jean-Marc","Proceedings of the 14th International Conference on Availability, Reliability and Security, 2019, p.1-6",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3339252_3340502
What Quality Aspects Influence the Adoption of Docker Images?,"Rosa, Giovanni ; Scalabrino, Simone ; Bavota, Gabriele ; Oliveto, Rocco","ACM transactions on software engineering and methodology, 2023-09, Vol.32 (6), p.1-30, Article 142",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3603111
SecCo: Automated Services to Secure Containers in the DevOps Paradigm,"Verderame, Luca ; Caviglione, Luca ; Carbone, Roberto ; Merlo, Alessio","Proceedings of the 2023 International Conference on Research in Adaptive and Convergent Systems, 2023, p.1-6",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3599957_3606222
"GothX: a generator of customizable, legitimate and malicious IoT network traffic","Poisson, Manuel ; Carnier, Rodrigo ; Fukuda, Kensuke","Proceedings of the 17th Cyber Security Experimentation and Test Workshop, 2024, p.65-73",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3675741_3675753
Global experimental verification of Docker-based secured mVoIP to protect against eavesdropping and DoS attacks,"Cha, ByungRae ; Kim, JongWon ; Moon, HaeMin ; Pan, SungBum","EURASIP journal on wireless communications and networking, 2017-04, Vol.2017 (1), p.1-14, Article 63",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_doaj_primary_oai_doaj_org_article_d923b82aa5ea418baad6060c1e9d6a98
Interference-aware Multiplexing for Deep Learning in GPU Clusters: A Middleware Approach,"Chen, Wenyan ; Mo, Zizhao ; Xu, Huanle ; Ye, Kejiang ; Xu, Chengzhong","International Conference for High Performance Computing, Networking, Storage and Analysis (Online), 2023, p.1-15",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10485033
Automating the Quantitative Analysis of Reproducibility for Build Artifacts derived from the Android Open Source Project,"Pöll, Manuel ; Roland, Michael","Proceedings of the 15th ACM Conference on Security and Privacy in Wireless and Mobile Networks, 2022, p.6-19",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3507657_3528537_brief
CC2Vec: distributed representations of code changes,"Hoang, Thong ; Kang, Hong Jin ; Lo, David ; Lawall, Julia","2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE), 2020, p.518-529",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3377811_3380361_brief
FAIRJupyter4AI: A Corpus of Computational Notebooks for AI,"Mietchen, Daniel ; Samuel, Sheeba","Research Ideas and Outcomes, 2025-10, Vol.11, p.1-25",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_doaj_primary_oai_doaj_org_article_c9361a438532406bb13a4717024d815f
PANDAcap: a framework for streamlining collection of full-system traces,"Stamatogiannakis, Manolis ; Bos, Herbert ; Groth, Paul","Proceedings of the 13th European workshop on Systems Security, 2020, p.1-6",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3380786_3391396
Secure Execution of Containers,"Santos,Afonso Capela Cucharra dos",,SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_rcaap_revistas_10400_5_116724
Snyk Limited - Strategic SWOT Insights,,"Strategic Insight (SWOT and Pestle Analysis), 2026",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_reports_3349456760
Clustering co-abundant genes identifies components of the gut microbiome that are reproducibly associated with colorectal cancer and inflammatory bowel disease,"Minot, Samuel S. ; Willis, Amy D.","Microbiome, 2019-08, Vol.7 (1), p.110-10, Article 110",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_miscellaneous_2268306800
D-Tagger: A Tag Recommendation Approach for Docker Repositories,"Yin, Kang ; Zhou, Jiahong ; Chen, Wei ; Wu, Guoquan ; Zhu, Jiaxin ; Wei, Jun","Proceedings of the 10th Asia-Pacific Symposium on Internetware, 2018, p.1-10",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3275219_3275220_brief
Simulafed: an enhanced federated simulated environment for privacy and security in health: SimulaFed: an enhanced federated,"Rivas, Jose M. ; Fernandez-Basso, Carlos ; Morcillo-Jimenez, Roberto ; Paños-Basterra, Juan ; Ruiz, M. Dolores ; Martin-Bautista, Maria J.","Computing, 2025-01, Vol.107 (1)",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s00607_024_01364_0
JARVIS-Leaderboard: a large scale benchmark of materials design methods,"Choudhary, Kamal ; Wines, Daniel ; Li, Kangming ; Garrity, Kevin F. ; Gupta, Vishu ; Romero, Aldo H. ; Krogel, Jaron T. ; Saritas, Kayahan ; Fuhr, Addis ; Ganesh, Panchapakesan ; Kent, Paul R. C. ; Yan, Keqiang ; Lin, Yuchao ; Ji, Shuiwang ; Blaiszik, Ben ; Reiser, Patrick ; Friederich, Pascal ; Agrawal, Ankit ; Tiwary, Pratyush ; Beyerle, Eric ; Minch, Peter ; Rhone, Trevor David ; Takeuchi, Ichiro ; Wexler, Robert B. ; Mannodi-Kanakkithodi, Arun ; Ertekin, Elif ; Mishra, Avanish ; Mathew, Nithin ; Wood, Mitchell ; Rohskopf, Andrew Dale ; Hattrick-Simpers, Jason ; Wang, Shih-Han ; Achenie, Luke E. K. ; Xin, Hongliang ; Williams, Maureen ; Biacchi, Adam J. ; Tavazza, Francesca","npj computational materials, 2024-05, Vol.10 (1), p.93-17, Article 93",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_osti_scitechconnect_2346228
Quick Analysis of Sedimentary Ancient DNA Using quicksand,"Szymanski, Merlin ; Visagie, Johann ; Romagné, Frédéric ; Meyer, Matthias ; Kelso, Janet","Molecular biology and evolution, 2025-12, Vol.42 (12)",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_12684969
Mining Long Tail Bugs: Identifying Rare and Overlooked Issues in Code,"Liang, Wentao ; Wu, Yanjun ; Ling, Xiang ; Luo, Tianyue ; Liu, Dinghao ; Zhang, Haotian ; Wu, Jingzheng","Proceedings of the ACM on software engineering, 2026-06, Vol.3 (FSE), p.943-966, Article FSE043",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_primary_3797071
"Entropic Ranks: A Methodology for Enhanced, Threshold-Free, Information-Rich Data Partition and Interpretation","de Lastic, Hector-Xavier ; Liampa, Irene ; G. Georgakilas, Alexandros ; Zervakis, Michalis ; Chatziioannou, Aristotelis","Applied sciences, 2020-10, Vol.10 (20), p.7077",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_infotracacademiconefile_A641751089
A new cyanobacterial species with a protective effect on lettuce grown under salinity stress: Envisaging sustainable agriculture practices,"Brito, Ângela ; Rocha, Mariana ; Kaštovský, Jan ; Vieira, Jorge ; Vieira, Cristina P. ; Ramos, Vitor ; Correia, Manuel ; Santos, Marina ; Mota, Rita ; Roque, Jéssica ; Pissarra, João ; Melo, Paula ; Tamagnini, Paula","Journal of applied phycology, 2022-04, Vol.34 (2), p.915-928",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_miscellaneous_2648872799
Advancing research software engineering with AI: a research framework,"Farshidi, Siamak ; Bennin, Kwabena Ebo ; Babur, Önder ; Sallou, June ; Kassahun, Ayalew ; Tekinerdogan, Bedir","Automated software engineering, 2026-11, Vol.33 (3), p.79, Article 79",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3337072047
Simulafed: an enhanced federated simulated environment for privacy and security in health,"Rivas, Jose M. ; Fernandez-Basso, Carlos ; Morcillo-Jimenez, Roberto ; Paños-Basterra, Juan ; Ruiz, M. Dolores ; Martin-Bautista, Maria J.","Computing, 2025-01, Vol.107 (1), p.3, Article 3",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3131044590
Optimizing Tensor Computation Graphs with Equality Saturation and Monte Carlo Tree Search,"Hartmann, Jakob ; He, Guoliang ; Yoneki, Eiko","2024 33rd International Conference on Parallel Architectures and Compilation Techniques (PACT), 2024, p.40-52",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3656019_3689611
Towards Efficient Resource Allocation for Federated Learning in Virtualized Managed Environments,"Nikolaidis, Fotis ; Symeonides, Moysis ; Trihinas, Demetris","Future internet, 2023-08, Vol.15 (8), p.261",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_infotracacademiconefile_A762477011
A Hybrid Virtualization Approach to Emulate Network Nodes of Heterogeneous Architectures,"Lai, Junyu ; Tian, Jiaqi ; Liu, Rui ; Yang, Zheng ; Jiang, Dingde","Mobile networks and applications, 2021-04, Vol.26 (2), p.781-793",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_2523913203
ECSTATIC: An Extensible Framework for Testing and Debugging Configurable Static Analysis,"Mordahl, Austin ; Zhang, Zenong ; Soles, Dakota ; Wei, Shiyi","Proceedings / International Conference on Software Engineering, 2023, p.550-562",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10172552
Computational and Communication Infrastructure Challenges for Resilient Cloud Services,"Martinez, Heberth F. ; Mondragon, Oscar H. ; Rubio, Helmut A. ; Marquez, Jack","Computers (Basel), 2022-07, Vol.11 (8), p.118",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_onefilemisc_PPVC_A745498688
The roles of code in biology,"Lawlor, Brendan ; Sleator, Roy D","Science progress (1916), 2021-04, Vol.104 (2), p.1-11",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_sage_journals_10_1177_00368504211010570
fAmulet: Finding Finalization Failure Bugs in Polygon zkRollup,"Li, Zihao ; Peng, Xinghao ; He, Zheyuan ; Luo, Xiapu ; Chen, Ting","Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security, 2024, p.971-985",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3658644_3690243
"Context, Reasoning, and Hierarchy: A Cost-Performance Study of Compound LLM Agent Design in an Adversarial POMDP","Bogdanov, Igor ; Lung, Chung-Horng ; Kunz, Thomas ; Gao, Jie ; Taylor, Adrian ; Zaman, Marzia","Proceedings of the ACM Conference on AI and Agentic Systems, 2026, p.17-45",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3786335_3813149
Docker ecosystem – Vulnerability Analysis,"Martin, A. ; Raponi, S. ; Combe, T. ; Di Pietro, R.","Computer communications, 2018-06, Vol.122, p.30-43",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_elsevier_sciencedirect_doi_10_1016_j_comcom_2018_03_011
Dr. Docker: A Large-Scale Security Measurement of Docker Image Ecosystem,"Shi, Hequan ; Ying, Lingyun ; Chen, Libo ; Duan, Haixin ; Liu, Ming ; Xue, Zhi","Proceedings of the ACM on Web Conference 2025, 2025, p.2813-2823",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3696410_3714653
Accelerating the Inference of the Exa.TrkX Pipeline,"Lazar, Alina ; Ju, Xiangyang ; Murnane, Daniel ; Calafiura, Paolo ; Farrell, Steven ; Xu, Yaoyuan ; Spiropulu, Maria ; Vlimant, Jean-Roch ; Cerati, Giuseppe ; Gray, Lindsey ; Klijnsma, Thomas ; Kowalkowski, Jim ; Atkinson, Markus ; Neubauer, Mark ; DeZoort, Gage ; Thais, Savannah ; Hsu, Shih-Chieh ; Aurisano, Adam ; Hewes, Jeremy ; Ballow, Alexandra ; Acharya, Nirajan ; Wang, Chun-yi ; Liu, Emma ; Lucas, Alberto","Journal of physics. Conference series, 2023-02, Vol.2438 (1), p.12008",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_2777067708
Defining and generating multi-level and uncertainty-wise test oracles for cyber-physical systems: Defining and generating multi-level and uncertainty-wise test oracles,"Valle, Pablo ; Arrieta, Aitor ; Han, Liping ; Ali, Shaukat ; Yue, Tao","Software and systems modeling, 2025-06, Vol.24 (3), p.679-704",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s10270_025_01271_8
Towards an Agentic AI-Enabled Blockchain-Based Fish Supply Chain Using Hyperledger Fabric,"Ismail, Shereen ; Othman, Bashar ; Reza, Hassan ; Teshome Hunde, Eden","Electronics (Basel), 2026-05, Vol.15 (9), p.1916",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3340596363
Python Fuzzing for Trustworthy Machine Learning Frameworks,"Yegorov, I. ; Kobrin, E. ; Parygina, D. ; Vishnyakov, A. ; Fedotov, A.","Journal of mathematical sciences (New York, N.Y.), 2024-10, Vol.285 (2), p.180-188",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_infotracacademiconefile_A822189901
Urban biogeography of fungal endophytes across San Francisco,"Gibson, Emma ; Zimmerman, Naupaka B.","PeerJ (San Francisco, CA), 2023-07, Vol.11, p.e15454, Article e15454",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_gale_infotracacademiconefile_A759085621
AmpWrap: a one-line fully automated amplicon metabarcoding 16S and 18S rRNA gene analysis,"Doni, Lapo ; Marotta, Alessia ; Vezzulli, Luigi ; Bosi, Emanuele","Bioinformatics advances, 2025-12, Vol.5 (1), p.vbaf312",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_12701800
Testing static analyses for precision and soundness,"Taneja, Jubi ; Liu, Zhengyang ; Regehr, John","Proceedings of the 18th ACM/IEEE International Symposium on Code Generation and Optimization, 2020, p.81-93",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3368826_3377927_brief
funcX: A Federated Function Serving Fabric for Science,"Chard, Ryan ; Babuji, Yadu ; Li, Zhuozhao ; Skluzacek, Tyler ; Woodard, Anna ; Blaiszik, Ben ; Foster, Ian ; Chard, Kyle","Proceedings of the 29th International Symposium on High-Performance Parallel and Distributed Computing, 2020, p.65-76",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3369583_3392683
Method Resource Sharing in On-Premises Environment Based on Cross-Origin Resource Sharing and its Application for Safety-First Constructions,"Arai, Kohei ; Norikoshi, Kodai ; Oda, Mariko","International journal of advanced computer science & applications, 2024, Vol.15 (5)",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_14569_IJACSA_2024_0150567
OpenUAV: a UAV testbed for the CPS and robotics community,"Schmittle, Matt ; Lukina, Anna ; Vacek, Lukas ; Das, Jnaneshwar ; Buskirk, Christopher P. ; Rees, Stephen ; Sztipanovits, Janos ; Grosu, Radu ; Kumar, Vijay","2018 ACM/IEEE 9th International Conference on Cyber-Physical Systems (ICCPS), 2018, p.130-139",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_8443728
metaXplor: an interactive viral and microbial metagenomic data manager,"Sempéré, Guilhem ; Pétel, Adrien ; Abbé, Magsen ; Lefeuvre, Pierre ; Roumagnac, Philippe ; Mahé, Frédéric ; Baurens, Gaël ; Filloux, Denis","Gigascience, 2021-02, Vol.10 (2), p.1-8",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_7931823
The effect of levofloxacin on the lung microbiota of laboratory rats,"Finn, Sade M. B. ; Scheuermann, Uwe ; Holzknecht, Zoie E. ; Gao, Qimeng ; Ibrahim, Mohamed M. ; Parker, William ; Granek, Joshua a. ; Lin, Shu S. ; McKenney, Erin a. ; Barbas, Andrew S.","Experimental lung research, 2019-08, Vol.45 (7), p.200-208",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_informaworld_taylorfrancis_310_1080_01902148_2019_1639225
LAN Traffic Capture Applications Using the Libtins Library,"Costin, Adrian-Tiberiu ; Zinca, Daniel ; Dobrota, Virgil","Electronics (Basel), 2021-12, Vol.10 (24), p.3084",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_2612764488
A Pattern-based Function and Workflow Visual Environment for FaaS Development across the Continuum,"Kousiouris, George ; Ambroziak, Szymon ; Zarzycki, Blazej ; Costantino, Domenico ; Tsarsitalidis, Stylianos ; Katevas, Vasileios ; Mamelli, Alessandro ; Stamati, Teta","Companion of the 2023 ACM/SPEC International Conference on Performance Engineering, 2023, p.165-172",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3578245_3584934_brief
"A Containerized Microservices Architecture with Reinforcement Learning for Scalable, Adaptive Learning","Gong, Yanxia ; Cai, Kai","Journal of web engineering, 2025-12, Vol.24 (8), p.1203",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_13052_jwe1540_9589_2482
Using DevContainers to Standardize Student Development Environments: An Experience Report,"Valstar, Sander ; Griswold, William G. ; Porter, Leo","Proceedings of the 2020 ACM Conference on Innovation and Technology in Computer Science Education, 2020, p.377-383",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3341525_3387424
A computational EXFOR database,"Schnabel, Georg","EPJ Web of conferences, 2020, Vol.239, p.16001",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1051_epjconf_202023916001
An approach to build consistent software architecture diagrams using devops system descriptors,"Nicacio, Jalves ; Petrillo, Fabio","Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings, 2022, p.312-321",SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3550356_3561567_brief
