Title,Vernacular Title,Creator,Contributor,Is Part Of,Dissertation,Subject,MESH subjects,Genre,Description,Contents,Other title,Related titles,Series,Publisher,Creation Date,Edition,Format,Frequency,Source,Bound with,permalink
An empirical study on self-admitted technical debt in Dockerfiles,,"Azuma, Hideaki ; Matsumoto, Shinsuke ; Kamei, Yasutaka ; Kusumoto, Shinji",,"Empirical software engineering : an international journal, 2022-03, Vol.27 (2), Article 49",,Algorithms ; Classification ; Computer science ; Computer software ; Containers ; Information science ; Open source software ; Public domain ; Software engineering ; Translators,,,"In software development, ad hoc solutions that are intentionally implemented by developers are called self-admitted technical debt (SATD). Because the existence of SATD spreads poor implementations, it is necessary to remove it as soon as possible. Meanwhile, container virtualization has been attracting attention in recent years as a technology to support infrastructure such as servers. Currently, Docker is the de facto standard for container virtualization. In Docker, a file describing how to build a container (Dockerfile) is a set of procedural instructions; thus, it can be considered as a kind of source code. Moreover, because Docker is a relatively new technology, there are few developers who have accumulated good or bad practices for building Docker container. Hence, it is likely that Dockerfiles contain many SATDs, as is the case with general programming language source code analyzed in previous SATD studies. The goal of this paper is to categorize SATDs in Dockerfiles and to share knowledge with developers and researchers. To achieve this goal, we conducted a manual classification for SATDs in Dockerfile. We found that about 3.0% of the comments in Dockerfile are SATD. In addition, we have classified SATDs into five classes and eleven subclasses. Among them, there are some SATDs specific to Docker, such as SATDs for version fixing and for integrity check. The three most common classes of SATD were related to lowering maintainability, testing, and defects.",,,,,New York: Springer US,,,,,SpringerLink Journals - AutoHoldings; ProQuest Central,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s10664_021_10081_7
Fixing Dockerfile smells: an empirical study,,"Rosa, Giovanni ; Zappone, Federico ; Scalabrino, Simone ; Oliveto, Rocco",,"Empirical software engineering : an international journal, 2024-09, Vol.29 (5), p.108, Article 108",,Attention ; Automation ; Computer science ; Computer software ; Containerization ; Practice Guidelines as Topic ; Smell ; Software engineering ; Translators,,,"Docker is the
de facto
standard for software containerization. A Dockerfile contains the requirements to build a Docker image containing a target application. There are several best practice rules for writing Dockerfiles, but the developers do not always follow them. Violations of such practices, known as Dockerfile smells, can negatively impact the reliability and performance of Docker images. Previous studies showed that Dockerfile smells are widely diffused, and there is a lack of automatic tools that support developers in fixing them. However, it is still unclear what Dockerfile smells get fixed by developers and to what extent developers would be willing to fix smells in the first place. The aim of our study is twofold. First, we want to understand what Dockerfiles smells receive more attention from developers, i.e., are fixed more frequently in the history of open-source projects. Second, we want to check if developers are willing to accept changes aimed at fixing Dockerfile smells (e.g., generated by an automated tool), to understand if they care about them. We evaluated the survivability of Dockerfile smells from a total of 53,456 unique Dockerfiles, where we manually validated a large sample of smell-removing commits to understand (i) if developers performed the change with the intention of removing bad practices, and (ii) if they were aware of the removed smell. In the second part, we used a rule-based tool to automatically fix Dockerfile smells. Then, we proposed such fixes to developers via pull requests. Finally, we quantitatively and qualitatively evaluated the outcome after a monitoring period of more than 7 months. The results of our study showed that most developers pay more attention to changes aimed at improving the performance of Dockerfiles (image size and build time). Moreover, they are willing to accept the fixes for the most common smells, with some exceptions (e.g., missing version pinning for OS packages).",,,,,New York: Springer US,,,,,SpringerLink Journals - AutoHoldings; ProQuest Central,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3076312911
Refactorings and technical debt in docker projects: an empirical study,,"Ksontini, Emna ; Kessentini, Marouane ; Ferreira, Thiago do N. ; Hassan, Foyzul",,"IEEE/ACM International Conference on Automated Software Engineering : [proceedings], 2021, p.781-791",,Ciphers ; Classification ; Containers ; Industries ; Maintenance ; Marketing research ; Open source software,,,"Software containers, such as Docker, are recently considered as the mainstream technology of providing reusable software artifacts. Developers can easily build and deploy their applications based on the large number of reusable Docker images that are publicly available. Thus, a current popular trend in industry is to move towards the containerization of their applications. However, container-based projects compromise different components including the Docker and Docker-compose files, and several other dependencies to the source code combining different containers and facilitating the interactions with them. Similar to any other complex systems, container-based projects are prone to various quality and technical debt issues related to different artifacts: Docker and Docker-compose files, and regular source code ones. Unfortunately, there is a gap of knowledge in how container-based projects actually evolve and are maintained.
In this paper, we address the above gap by studying refactorings, i.e., structural changes while preserving the behavior, applied in open-source Docker projects, and the technical debt issues they alleviate. We analyzed 68 projects, consisting of 19,5 MLOC, along with 193 manually examined commits. The results indicate that developers refactor these Docker projects for a variety of reasons that are specific to the configuration, combination and execution of containers, leading to several new technical debt categories and refactoring types compared to existing refactoring domains. For instance, refactorings for reducing the image size of Dockerfiles, improving the extensibility of Docker-compose files, and regular source code refactorings are mainly associated with the evolution of Docker and Docker-compose files. We also introduced 24 new Docker-specific refactorings and technical debt categories, respectively, and defined different best practices. The implications of this study will assist practitioners, tool builders, and educators in improving the quality of Docker projects.",,,,,"Piscataway, NJ, USA: IEEE Press",,,,,IEEE Proceedings Order Plans (POP All) 1998-Present; ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1109_ASE51524_2021_9678585_brief
Understanding Self-Admitted Technical Debt in Test Code: An Empirical Study,,"Nakamura, Ibuki ; Kashiwa, Yutaro ; Lin, Bin ; Iida, Hajimu",,"ACM transactions on software engineering and methodology, 2026-01",,,,,"Developers often opt for easier but non-optimal implementation to meet deadlines or create rapid prototypes, leading to additional effort known as technical debt to improve the code later. Oftentimes, developers explicitly document the technical debt in code comments, referred to as Self-Admitted Technical Debt (SATD). Numerous researchers have investigated the impact of SATD on different aspects of software quality and development processes. However, most of these studies focus on SATD in production code, often overlooking SATD in the test code or assuming that it shares similar characteristics with SATD in production code. In fact, a significant amount of SATD is also present in the test code, with many instances not fitting into existing categories for the production code. This study aims to fill this gap and disclose the nature of SATD in the test code by examining its distribution and types. Moreover, the relation between its presence and test quality is also analyzed. Our empirical study, involving 17,766 SATD comments (14,987 from production code, 2,779 from test code) collected from 50 repositories, demonstrates that while SATD widely exists in test code, it is not directly associated with test smells. Our study also presents comprehensive categories of SATD types in the test code, and machine learning models are developed to automatically classify SATD comments based on their types for easier management. Our results show that the CodeBERT-based model outperforms other machine learning models in terms of recall and F1-score. However, the performance varies on different types of SATD.",,,,,,,,,,ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3786791
Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin",,"IEEE access, 2020, Vol.8, p.34127-34139",,Buildings ; Containers ; Open source software ; Practice Guidelines as Topic ; Public domain ; Regression analysis,,,"Dockerfile plays an important role in the Docker-based software development process, but many Dockerfile codes are infected with smells in practice. Understanding the occurrence of Dockerfile smells in open-source software can benefit the practice of Dockerfile and enhance project maintenance. In this paper, we perform an empirical study on a large dataset of 6,334 projects to help developers gain some insights into the occurrence of Dockerfile smells, including its coverage, distribution, co-occurrence, and correlation with project characteristics. Our results show that smells are very common in Dockerfile codes and there exists co-occurrence between different types of Dockerfile smells. Further, using linear regression analysis, when controlled for various variables, we statistically identify and quantify the relationships between Dockerfile smells occurrence and project characteristics. We also provide a rich resource of implications for software practitioners.",,,,,Piscataway: IEEE,,,,,IEEE Xplore Open Access Journals; DOAJ Directory of Open Access Journals,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_doaj_primary_oai_doaj_org_article_ccd0208764af4345a45acc8a4ee02420
An Empirical Case Study on the Temporary File Smell in Dockerfiles,,"Lu, Zhigang ; Xu, Jiwei ; Wu, Yuewen ; Wang, Tao ; Huang, Tao",,"IEEE access, 2019, Vol.7, p.63650-63659",,Buildings ; Case studies ; Containers ; Data centers ; Implements ; Practice Guidelines as Topic ; Semantics (Philosophy) ; Smell,,,"Docker is widely used in data centers to host services. The docker image adopts a hierarchical storage architecture, which means that the docker image is composed of a set of filesystem layers. In the image building process, only the top layer is read-write, while the bottom layers are all read-only. However, temporary files are often used in the image building process. Nevertheless, if a temporary file is imported and removed in different layers by a careless developer, it will lead a file redundancy. We termed this problem ""temporary file smell."" This smell leads to larger-size images, which seriously restricts the efficiency of image distribution and thus affects the scaling ability of services in facing of sudden high load. To address this problem, we make an empirical case study to the real-world Dockerfiles on DockerHub. Based on the case study, we summarize four different smell patterns and propose a state-depend static analysis method to detect this kind of smells. We also provide three feasible fixing methods as selective options to eliminate the temporary file smell.",,,,,Piscataway: IEEE,,,,,IEEE Xplore Open Access Journals; DOAJ Directory of Open Access Journals,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_8667832
Quantifying and characterizing clones of self-admitted technical debt in build systems,,"Xiao, Tao ; Zeng, Zhili ; Wang, Dong ; Hata, Hideaki ; McIntosh, Shane ; Matsumoto, Kenichi",,"Empirical software engineering : an international journal, 2024-03, Vol.29 (2), p.54, Article 54",,Authorship ; Automation ; Cloning ; Computer science ; Computer software ; Libraries ; Software engineering ; Translators,,,"Self-Admitted Technical Debt (SATD) annotates development decisions that intentionally exchange long-term software artifact quality for short-term goals. Recent work explores the existence of SATD clones (duplicate or near duplicate SATD comments) in source code. Cloning of SATD in build systems (e.g., CMake and Maven) may propagate suboptimal design choices, threatening qualities of the build system that stakeholders rely upon (e.g., maintainability, reliability, repeatability). Hence, we conduct a large-scale study on 50,608 SATD comments extracted from Autotools, CMake, Maven, and Ant build systems to investigate the prevalence of SATD clones and to characterize their incidences. We observe that: (i) prior work suggests that 41–65% of SATD comments in source code are clones, but in our studied build system context, the rates range from 62% to 95%, suggesting that SATD clones are a more prevalent phenomenon in build systems than in source code; (ii) statements surrounding SATD clones are highly similar, with 76% of occurrences having similarity scores greater than 0.8; (iii) a quarter of SATD clones are introduced by the author of the original SATD statements; and (iv) among the most commonly cloned SATD comments, external factors (e.g., platform and tool configuration) are the most frequent locations, limitations in tools and libraries are the most frequent causes, and developers often copy SATD comments that describe issues to be fixed later. Our work presents the first step toward systematically understanding SATD clones in build systems and opens up avenues for future work, such as distinguishing different SATD clone behavior, as well as designing an automated recommendation system for repaying SATD effectively based on resolved clones.",,,,,New York: Springer US,,,,,SpringerLink Journals - AutoHoldings; ProQuest Central,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1007_s10664_024_10449_5
Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,,"Rosa, Giovanni ; Scalabrino, Simone ; Robles, Gregorio ; Oliveto, Rocco",,"Proceedings (IEEE/ACM International Conference on Mining Software Repositories. Online), 2024, p.231-241",,Data mining ; History ; Software ; Surveys ; Writing ; Written communication,,,"Dockerfiles can be affected by bad design choices, known as Dockerfile smells. Hadolint is currently the reference tool able to detect them, and it is widely used both by researchers and practitioners. The literature shows that these smells are commonly diffused in Dockerfiles, but it is still not clear how developers perceive them as bad practices. This paper aims to investigate the relevance of the Dockerfile smells captured by hadolint from the perspective of expert Dockerfile developers. We first perform a mining study in which we extract the change history of Dockerfiles maintained by experts to understand what smells have been more frequently introduced in their history. Next, we ran a survey in which we asked expert Dockerfile developers to evaluate Dockerfiles affected by different smells. We obtained 94 responses for 17 smells, representative of 24 Dockerfile smells. We found that experts prioritize a small part of the evaluated smells over others. Besides, they report additional bad practices not mapped as smells in any existing catalog. Thus, we propose a ranked catalog containing 26 additional Dockerfile smells, which can be used as a guide for novices to understand which aspects to focus on to write good-quality Dockerfiles.",,,,,"New York, NY, USA: ACM",,,,,ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3643991_3644905_brief
An Empirical Case Study on the Temporary File Smell in Docker files,,"Lu, Zhigang ; Xu, Jiwei ; Wu, Yuewen ; Wang, Tao ; Huang, Tao",,"IEEE access, 2019, Vol.7, p.63650-63659",,,,,,,,,,,,,,,IEEE Xplore Open Access Journals; DOAJ Directory of Open Access Journals,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1109_ACCESS_2019_2905424
Repairing Docker Smells with Large Language Models: An Empirical Study,,"Zhang, Chenhui ; Wang, Haiyan ; Zhu, Junyi ; Gu, Zhaoquan ; Wang, Le",,"Applied sciences, 2026-07, Vol.16 (13), p.6805",,Automation ; Mathematical optimization ; Practice Guidelines as Topic ; Smell ; Software ; Software maintenance,,,"Docker simplifies application deployment, yet improperly written Dockerfiles often lead to suboptimal images with security and efficiency issues, termed “Docker smell”. Existing approaches for the identification and repair of Docker smells predominantly rely on expert-defined static rules, which exhibit notable limitations when addressing structurally complex or infrequent smells. This paper proposes a novel Detect–Guide–Repair (DGR) framework, which integrates rule-based smell detection with a context-aware repair mechanism driven by large language models (LLMs), enabling a more flexible and intelligent automated repair process. We systematically evaluated DGR on 417 real Dockerfiles from prominent GitHub projects. Experimental results show that DGR reduces the number of smells to 44.68% of the original while maintaining a build success rate of 89.20%, demonstrating significant improvements in both repair effectiveness and usability. Furthermore, we present three practical enhancement pathways: (1) a hybrid strategy combining rules and DGR to improve repair effectiveness further; (2) an automated error-correction mechanism to restore buildability; and (3) task-specific model fine-tuning to enable efficient deployment of smaller models. Collectively, these approaches provide a promising empirical foundation for automated Docker smell repair.",,,,,Basel: MDPI AG,,,,,Publicly Available Content Database; ProQuest Central; DOAJ Directory of Open Access Journals,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_3390_app16136805
