Title,Vernacular Title,Creator,Contributor,Is Part Of,Dissertation,Subject,MESH subjects,Genre,Description,Contents,Other title,Related titles,Series,Publisher,Creation Date,Edition,Format,Frequency,Source,Bound with,permalink
"Ultimate Django for Web App Development Using Python : Build Modern, Reliable and Scalable Production-Grade Web Applications with Django and Python (English Edition) ",,"Lazzaro, Leonardo Luis, author. ",,,,Computers; Internet programming; Python (Computer program language),,,"This comprehensive guide is an indispensable resource for developers seeking to elevate their web development skills in Django and Python. The book begins by establishing a strong foundation and understanding of Django's architecture, emphasizing the Model-View-Template (MVT) pattern and a pivotal service layer for creating scalable web applications. The book then progresses to practical aspects, guiding readers through the development of a Task Management App. This hands-on approach reinforces fundamental concepts and showcases Django's flexibility and efficiency in real-world scenarios. The advanced sections of the book will help you tackle complex challenges, covering topics like preventing double-form submissions, implementing offline pessimistic and optimistic locking techniques, mastering API development with Django Ninja, and ensuring application reliability through exhaustive testing with pytest. The book culminates in practical insights for deploying Django applications with Docker and Kubernetes, this guide equips you to tackle real-world challenges effectively.","Intro -- Cover Page -- Title Page -- Copyright Page -- About the Author -- About the Technical Reviewer -- Acknowledgements -- Preface -- Errata -- Table of Contents -- 1. Introduction to Django and Python -- Introduction -- Structure -- Introduction to Python -- Understanding variables as references -- Parameter passing -- Interfaces or protocols -- Standard modules -- Error handling -- List comprehensions -- F-Strings -- Type hinting -- Coding style -- Introduction to Django -- The Django Philosophy -- Don't repeat yourself -- Loose coupling and High cohesion -- Less code and quick development -- Explicit is better than implicit -- Models: Include all relevant domain logic -- Separate logic from the presentation on templates -- Views -- Caching -- Django 4.2 highlights -- Support for psycopg3 -- Comments on columns and tables -- In-memory file storage -- Custom file storages -- Updates in password validation -- Minor updates and additions -- Python for Django -- Conclusion -- Questions -- 2. Setting Up Your Development Environment -- Introduction -- Structure -- Introduction to Development Environments -- Managing Python Versions with Pyenv -- Understanding Virtual Environments -- Introduction to Poetry for Dependency Management -- Setting up a Django Project with Poetry -- Basic Configuration for a Django Project -- Introduction to Git for Version Control -- Creating a GitHub repository -- Branching models -- Git Flow -- GitHub Flow -- Trunk-based -- Advanced Git Usage: Using Worktree -- Conclusion -- Questions -- 3. Getting Started with Django Projects and Apps -- Introduction -- Structure -- Introduction to the task manager -- Django project versus Django application -- Creating a new Django project -- Understanding the Django project structure -- Starting your first Django app -- Understanding the Django app structure.; MVT design patterns in Django -- Extending the MVT pattern with a service layer -- Configuring your Django app -- Brief introduction to Django's development server -- Running your first Django app -- Conclusion -- Questions -- Exercises -- 4. Django Models and PostgreSQL -- Introduction -- Structure -- Understanding Django models -- Creating your first model -- Django's database API: Create, retrieve, update, and delete operations -- Understanding Django migrations -- Django's admin interface: Registering models and manipulating data -- Introduction to Django's ORM: Queries and aggregations -- Extending the models -- Ensuring data integrity with model constraints -- Conclusion -- Questions -- Exercises -- 5. Django Views and URL Handling -- Introduction -- Structure -- Understanding Django Views -- Introducing Django's Generic Views -- Writing Your First Django View -- Class-based Views Mixins -- URL Configuration in Django -- Creating URL Patterns for your Views -- Handling Dynamic URLs with Path Converters -- Understanding Django's URL Namespace and Naming URL Patterns -- Using Django's HttpRequest And HttpResponse Objects -- Introducing to Function-based Views -- Using Function-based Views with a Service Layer -- Pessimistic and Optimistic Offline Locking using Views and a Service Layer -- Error Handling with Custom Error Views -- Conclusion -- Questions -- Exercises -- 6. Using the Django Template Engine -- Introduction -- Structure -- Introduction to Django Template Engine -- Django Template Language: Variables, Tags, and Filters -- Inheritance in Django Templates -- The Home Page View: Showing Tasks by Status -- Custom Template Tags and Filters -- Using Static Files in Django Templates: CSS, JavaScript, Images -- Django Template Context Processors -- Debugging Django Templates -- Optimizing Template Rendering -- Securing Django Templates.; Conclusion -- Questions -- Exercises -- 7. Forms in Django -- Introduction -- Structure -- Understanding Django Forms -- Creating Your First Django Form -- Rendering Forms in Templates -- Handling Form Submission in Views -- Working with Form Fields -- Custom form fields -- File and Image Upload Field -- Data Validation with Django Forms -- Validators -- Clean methods -- ModelForm Validation -- Displaying Form Errors -- Advanced Form Handling: ModelFormsSets and Formsets -- Preventing Double Submission in Forms -- Conclusion -- Questions -- Exercises -- 8. User Authentication and Authorization in Django -- Introduction -- Structure -- Understanding Django's Authentication System -- Introduction to Django's Middleware -- Understanding Django Middleware -- User Registration with Django's User Model -- Authenticating Users: Login and Logout -- Managing User Sessions -- Session customization -- Session usage -- Session good practices -- Password Management in Django: Change and Password Reset -- Protecting Views with Login Required Decorators -- User Authorization: Permissions and Groups -- Multi-tenant authentication with Custom Django's User Model -- Security Best Practices in Django -- Update all your libraries and frameworks -- Project Settings Hardening -- Turn off Debug in production -- Use Secure Cookies -- HTTP Strict Transport Security (HSTS) -- Content Security Policy (CSP) -- X-Content-Type-Options -- X-XSS-Protection -- Secure Referrer Policy -- Use Secure Password Hashing Algorithms -- Limit Access to Admin -- Keep SECRET_KEY Secret -- Set ALLOWED_HOSTS -- Conclusion -- Questions -- Exercises -- 9. Django Ninja and APIs -- Introduction -- Structure -- Introduction to API design -- API Design-first approach -- HTTP Response status codes -- Introduction to Django Ninja -- Setting Up Django Ninja in Your Project.; Building Your first API with Django Ninja -- Request and Response Models with Pydantic -- API Documentation -- Understanding HTTP Methods in Django Ninja -- API Pagination -- Working with Path Parameters and Query Parameters -- Validation and Error Handling in Django Ninja -- Authenticating API Users -- Securing APIs: Permissions and Throttling -- Permissions -- Throttling -- Versioning Your API -- Conclusion -- Questions -- Exercises -- 10. Testing with pytest -- Introduction -- Structure -- Introduction to testing and pytest -- Understanding test -- Test-driven development -- Introduction to pytest -- Installing and setting up pytest for Django -- Understanding Django test database and pytest -- Pytest-django fixtures -- Mocking and patching in tests -- Behavior-driven development -- Advanced pytest features: Parametrization, plugins, and configuration -- Parametrization -- Plugin coverage -- Plugin xdist -- Using marks -- Configuration tips -- Conclusion -- Questions -- Exercises -- 11. Deploying Django Applications with Gunicorn and Docker -- Introduction -- Structure -- Introduction to Gunicorn -- Configuring Gunicorn for Django Deployment -- Understanding and Creating Dockerfiles for Django -- Using the image registry -- Introduction to Kubernetes -- Cluster -- Node -- Scheduler -- Pods -- Deployments -- ReplicaSets -- Services -- Configmaps and Secrets -- Ingress -- StatefulSets -- Configuring a Kubernetes cluster for a Django application -- Adding liveness and readiness probes -- Adding Instrumentation for Django -- Prometheus configuration -- Jaeger configuration -- Database Optimization: Queries and Indexing -- Conclusion -- Questions -- 12. Final Thoughts and Future Directions -- Introduction -- Structure -- Summary of learnings: Building a task management app -- Evaluating the Django ecosystem: Strengths and weaknesses.; Exploring additional Django tools and libraries -- Potential enhancements for the task management app -- Staying updated with Django: Resources and communities -- Career opportunities with Django skills -- Thoughts on Django's future: Upcoming features and trends -- Tips for continued learning and improvement -- Conclusion -- Index.",,,,Delhi : Orange Education Pvt Ltd,2024,First edition.,1 online resource (241 pages),,Catálogo da biblioteca,,https://pesquisa.b-on.pt/permalink/351BON_INST/uj58op/alma99109628009596
"Designing hexagonal architecture with Java : an architect's guide to building maintainable and change-tolerant applications with Java and Quarkus ",,"Vieira, Davi, author. ",,,,Software architecture; Java (Computer program language),,,"A practical guide for software architects and Java developers to build cloud-native hexagonal applications using Java and Quarkus to create systems that are easier to refactor, scale, and maintain Key Features Learn techniques to decouple business and technology code in an application Apply hexagonal architecture principles to produce more organized, coherent, and maintainable software Minimize technical debts and tackle complexities derived from multiple teams dealing with the same code base Book DescriptionHexagonal architecture enhances developers' productivity by decoupling business code from technology code, making the software more change-tolerant, and allowing it to evolve and incorporate new technologies without the need for significant refactoring. By adhering to hexagonal principles, you can structure your software in a way that reduces the effort required to understand and maintain the code. This book starts with an in-depth analysis of hexagonal architecture's building blocks, such as entities, use cases, ports, and adapters. You'll learn how to assemble business code in the Domain hexagon, create features by using ports and use cases in the Application hexagon, and make your software compatible with different technologies by employing adapters in the Framework hexagon. Moving on, you'll get your hands dirty developing a system based on a real-world scenario applying all the hexagonal architecture's building blocks. By creating a hexagonal system, you'll also understand how you can use Java modules to reinforce dependency inversion and ensure the isolation of each hexagon in the architecture. Finally, you'll get to grips with using Quarkus to turn your hexagonal application into a cloud-native system. By the end of this hexagonal architecture book, you'll be able to bring order and sanity to the development of complex and long-lasting applications. What you will learn Find out how to assemble business rules algorithms using the specification design pattern Combine domain-driven design techniques with hexagonal principles to create powerful domain models Employ adapters to make the system support different protocols such as REST, gRPC, and WebSocket Create a module and package structure based on hexagonal principles Use Java modules to enforce dependency inversion and ensure isolation between software components Implement Quarkus DI to manage the life cycle of input and output ports Who this book is for This book is for software architects and Java developers who want to improve code maintainability and enhance productivity with an architecture that allows changes in technology without compromising business logic, which is precisely what hexagonal architecture does. Intermediate knowledge of the Java programming language and familiarity with Jakarta EE will help you to get the most out of this book.",Table of Contents Why Hexagonal Architecture? Wrapping Business Rules inside Domain Hexagon Handling Behavior with Ports and Use Cases Creating Adapters to Interact with the Outside World Exploring the Nature of Driving and Driven Operations Building the Domain Hexagon Building the Application Hexagon Building the Framework Hexagon Applying Dependency Inversion with Java Modules Adding Quarkus to a Modularized Hexagonal Application Leveraging CDI Beans to Manage Ports and Use Cases Using RESTEasy Reactive to Implement Input Adapters Persisting Data with Output Adapters and Hibernate Reactive Setting Up Dockerfile and Kubernetes Objects for Cloud Deployment Good Design Practices for Your Hexagonal Application,,,,Birmingham ; Mumbai : Packt Publishing,2022,,1 online resource (460 pages),,Catálogo da biblioteca,,https://pesquisa.b-on.pt/permalink/351BON_INST/uj58op/alma9972073709596
Shipwright: A Human-in-the-Loop System for Dockerfile Repair,,"Henkel, Jordan ; Silva, Denini ; Teixeira, Leopoldo ; d'Amorim, Marcelo ; Reps, Thomas",,"2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion), 2021, p.198-199",,Computer software ; Implements ; Software engineering,,,"Shipwright is a human-in-the-loop system for Dockerfile repair. In this artifact, we provide the data, tools, and scripts necessary to allow others to run our experiments (either in full, or reduced versions where necessary). In particular, we provide code and data corresponding to each of the four research questions we answered in the Shipwright paper.",,,,,IEEE,,,,,IEEE Proceedings Order Plans (POP All) 1998-Present,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_9402688
DRIVE: Dockerfile Rule Mining and Violation Detection,,"Zhou, Yu ; Zhan, Weilin ; Li, Zi ; Han, Tingting ; Chen, Taolue ; Gall, Harald",,"ACM transactions on software engineering and methodology, 2023-12, Vol.33 (2), p.1-23, Article 30",,,,,"A Dockerfile defines a set of instructions to build Docker images, which can then be instantiated to support containerized applications. Recent studies have revealed a considerable amount of quality issues with Dockerfiles. In this article, we propose a novel approach, Dockerfiles Rule mIning and Violation dEtection (DRIVE), to mine implicit rules and detect potential violations of such rules in Dockerfiles. DRIVE first parses Dockerfiles and transforms them to an intermediate representation. It then leverages an efficient sequential pattern mining algorithm to extract potential patterns. With heuristic-based reduction and moderate human intervention, potential rules are identified, which can then be utilized to detect potential violations of Dockerfiles. DRIVE identifies 34 semantic rules and 19 syntactic rules including 9 new semantic rules that have not been reported elsewhere. Extensive experiments on real-world Dockerfiles demonstrate the efficacy of our approach.",,,,,"New York, NY: ACM",,,,,ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3617173
Dockerfile Flakiness: Characterization and Repair,,"Shabani, Taha ; Nashid, Noor ; Alian, Parsa ; Mesbah, Ali",,"Proceedings / International Conference on Software Engineering, 2025, p.1793-1805",,Classification ; Computer software ; Reliability ; Software engineering,,,"Dockerfile flakiness—unpredictable temporal build failures caused by external dependencies and evolving environments—undermines deployment reliability and increases debugging overhead. Unlike traditional Dockerfile issues, flakiness occurs without modifications to the Dockerfile itself, complicating its resolution. In this work, we present the first comprehensive study of Dockerfile flakiness, featuring a nine-month analysis of 8,132 Dockerized projects, revealing that around 10% exhibit flaky behavior. We propose a taxonomy categorizing common flakiness causes, including dependency errors and server connectivity issues. Existing tools fail to effectively address these challenges due to their reliance on pre-defined rules and limited generalizability. To overcome these limitations, we introduce FlakiDock, a novel repair framework combining static and dynamic analysis, similarity retrieval, and an iterative feedback loop powered by Large Language Models (LLMs). Our evaluation demonstrates that FlakiDock achieves a repair accuracy of 73.55%, significantly surpassing state-of-the-art tools and baselines.",,,,,"Piscataway, NJ, USA: IEEE Press",,,,,IEEE Proceedings Order Plans (POP All) 1998-Present; ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_11029932
Repairing Docker Smells with Large Language Models: An Empirical Study,,"Zhang, Chenhui ; Wang, Haiyan ; Zhu, Junyi ; Gu, Zhaoquan ; Wang, Le",,"Applied sciences, 2026-07, Vol.16 (13), p.6805",,Automation ; Mathematical optimization ; Practice Guidelines as Topic ; Smell ; Software ; Software maintenance,,,"Docker simplifies application deployment, yet improperly written Dockerfiles often lead to suboptimal images with security and efficiency issues, termed “Docker smell”. Existing approaches for the identification and repair of Docker smells predominantly rely on expert-defined static rules, which exhibit notable limitations when addressing structurally complex or infrequent smells. This paper proposes a novel Detect–Guide–Repair (DGR) framework, which integrates rule-based smell detection with a context-aware repair mechanism driven by large language models (LLMs), enabling a more flexible and intelligent automated repair process. We systematically evaluated DGR on 417 real Dockerfiles from prominent GitHub projects. Experimental results show that DGR reduces the number of smells to 44.68% of the original while maintaining a build success rate of 89.20%, demonstrating significant improvements in both repair effectiveness and usability. Furthermore, we present three practical enhancement pathways: (1) a hybrid strategy combining rules and DGR to improve repair effectiveness further; (2) an automated error-correction mechanism to restore buildability; and (3) task-specific model fine-tuning to enable efficient deployment of smaller models. Collectively, these approaches provide a promising empirical foundation for automated Docker smell repair.",,,,,Basel: MDPI AG,,,,,ProQuest Central UK/Ireland; Publicly Available Content Database; DOAJ Directory of Open Access Journals,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_3390_app16136805
Fixing Dockerfile smells: an empirical study,,"Rosa, Giovanni ; Zappone, Federico ; Scalabrino, Simone ; Oliveto, Rocco",,"Empirical software engineering : an international journal, 2024-09, Vol.29 (5), p.108, Article 108",,Attention ; Automation ; Computer science ; Computer software ; Containerization ; Practice Guidelines as Topic ; Smell ; Software engineering ; Translators,,,"Docker is the
de facto
standard for software containerization. A Dockerfile contains the requirements to build a Docker image containing a target application. There are several best practice rules for writing Dockerfiles, but the developers do not always follow them. Violations of such practices, known as Dockerfile smells, can negatively impact the reliability and performance of Docker images. Previous studies showed that Dockerfile smells are widely diffused, and there is a lack of automatic tools that support developers in fixing them. However, it is still unclear what Dockerfile smells get fixed by developers and to what extent developers would be willing to fix smells in the first place. The aim of our study is twofold. First, we want to understand what Dockerfiles smells receive more attention from developers, i.e., are fixed more frequently in the history of open-source projects. Second, we want to check if developers are willing to accept changes aimed at fixing Dockerfile smells (e.g., generated by an automated tool), to understand if they care about them. We evaluated the survivability of Dockerfile smells from a total of 53,456 unique Dockerfiles, where we manually validated a large sample of smell-removing commits to understand (i) if developers performed the change with the intention of removing bad practices, and (ii) if they were aware of the removed smell. In the second part, we used a rule-based tool to automatically fix Dockerfile smells. Then, we proposed such fixes to developers via pull requests. Finally, we quantitatively and qualitatively evaluated the outcome after a monitoring period of more than 7 months. The results of our study showed that most developers pay more attention to changes aimed at improving the performance of Dockerfiles (image size and build time). Moreover, they are willing to accept the fixes for the most common smells, with some exceptions (e.g., missing version pinning for OS packages).",,,,,New York: Springer US,,,,,ProQuest Central UK/Ireland; SpringerLink Journals,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_journals_3076312911
Shipwright: A Human-in-the-Loop System for Dockerfile Repair,,"Henkel, Jordan ; Silva, Denini ; Teixeira, Leopoldo ; d'Amorim, Marcelo ; Reps, Thomas",,"Proceedings / International Conference on Software Engineering, 2021, p.1148-1160",,Bit error rate ; Computer software ; Implements ; Software engineering,,,"Docker is a tool for lightweight OS-level virtualization. Docker images are created by performing a build, controlled by a source-level artifact called a Dockerfile. We studied Dockerfiles on GitHub, and---to our great surprise--- found that over a quarter of the examined Dockerfiles failed to build (and thus to produce images). To address this problem, we propose Shipwright, a human-in-the-loop system for finding repairs to broken Dockerfiles. Shipwright uses a modified version of the BERT language model to embed build logs and to cluster broken Dockerfiles. Using these clusters and a search-based procedure, we were able to design 13 rules for making automated repairs to Dockerfiles. With the aid of Shipwright, we submitted 45 pull requests (with a 42.2% acceptance rate) to GitHub projects with broken Dockerfiles. Furthermore, in a ""time-travel"" analysis of broken Dockerfiles that were later fixed, we found that Shipwright proposed repairs that were equivalent to human-authored patches in 22.77% of the cases we studied. Finally, we compared our work with recent, state-of-the-art, static Dockerfile analyses, and found that, while static tools detected possible build-failure-inducing issues in 20.6-33.8% of the files we examined, Shipwright was able to detect possible issues in 73.25% of the files and, additionally, provide automated repairs for 18.9% of the files.",,,,,"Piscataway, NJ, USA: IEEE Press",,,,,IEEE Proceedings Order Plans (POP All) 1998-Present; ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_9402069
Automating Dockerfile Refactoring to Multi-stage Builds,,"Chen, Dongjin ; Yang, Wenhua ; Pan, Minxue ; Zhou, Yu",,"Proceedings of the ACM on software engineering, 2026-06, Vol.3 (FSE), p.1560-1581, Article FSE070",,,,,"Containerization has become a cornerstone of modern software deployment, yet many projects still ship single-stage Dockerfiles that bundle compilers, build tools, and temporary files into production images, thereby hurting performance and security. Multi-stage builds are recommended, yet uptake appears uneven, plausibly because refactoring legacy Dockerfiles demands nontrivial reasoning about build lifecycles and dependency separation. This paper presents StageCraft, an automated refactoring approach that converts single-stage Dockerfiles into optimized multi-stage builds. StageCraft first performs static analysis to identify the technology stack and to infer build-time and runtime dependencies. It then applies a lightweight gate that estimates the refactoring benefit from a composite of image bloat, structural inefficiency, and security risk, proceeding only when refactoring is warranted. Finally, it synthesizes a multi-stage Dockerfile that isolates build tooling, copies only the artifacts needed at runtime, and applies production hardening. Evaluated on 521 real-world single-stage projects, StageCraft successfully produced working multi-stage Dockerfiles for 60.3% of targets. The resulting images were, on average, 52.2% smaller and contained 50.0% fewer high-risk vulnerabilities than the originals, outperforming baselines. StageCraft lowers the barrier to multi-stage adoption at scale, yielding leaner images with a reduced attack surface and improved maintainability. We release the tool, its knowledge assets, and the evaluation dataset to support reproducibility and future research.",,,,,"New York, NY, USA: ACM",,,,,ACM Digital Library Complete,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_primary_3797098
DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,,"Bui, Quang-Cuong ; Laukotter, Malte ; Scandariato, Riccardo",,"Proceedings - Conference on Software Maintenance (1987), 2023, p.160-170",,Containers ; Software maintenance ; Writing ; Written communication,,,"Docker is a widely adopted platform that enables developers to create lightweight and isolated containers for deploying applications. These containers can be replicated from a single blueprint specified by a text file known as a Dockefile. The Dockerfile smells might not only hinder the performance of containers but also potentially introduce security risks. State-of-the-art scanning tools, such as Hadolint and KICS, are available to efficiently detect Dockerfile smells. Still, there is a lack of approaches focusing on resolving these issues. Therefore, we present DockerCleaner, an automated repair tool that suggests fixes for eleven Dockerfile security smell types. Our tool employs the repair actions inspired by the best security practices for writing Dockerfiles. The evaluation results show that DockerCleaner can remove the artificially injected security smells from 92.67% of the Dockerfiles and guarantee the buildability for 99.33% of them. Specifically for security smells in real Dockerfiles, DockerCleaner outperforms the state-of-the-art repair tool by a wide margin. Finally, we leveraged the fixes generated by DockerCleaner to propose improvements to twelve official Docker images. Eight pull requests have been accepted and merged by the developers.",,,,,IEEE,,,,,IEEE Proceedings Order Plans (POP All) 1998-Present,,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10336292
